Symbol
NVDA
AAPL
MSFT
AMZN
GOOGL
AVGO
GOOG
META
TSLA
BRK.B
JPM
LLY
XOM
JNJ
WMT
V
MU
COST
MA
ABBV
HD
PG
CAT
BAC
CVX
AMD
GE
NFLX
KO
MRK
CSCO
PLTR
PM
LRCX
GS
WFC
RTX
ORCL
AMAT
UNH
IBM
MCD
PEP
GEV
LIN
VZ
INTC
T
MS
TXN
C
AMGN
ABT
TMO
NEE
KLAC
GILD
BA
AXP
DIS
CRM
APH
TJX
ISRG
ADI
LOW
SCHW
PFE
UNP
BLK
HON
ETN
DE
QCOM
UBER
WELL
ANET
ACN
COP
DHR
BKNG
COF
LMT
MDT
PANW
NEM
PLD
SYK
PH
SPGI
CB
BMY
PGR
VRTX
CMCSA
MCK
MO
INTU
ADBE
BSX
SBUX
CME
NOW
CRWD
TMUS
GLW
TT
SO
APP
CVS
HWM
WDC
DUK
BX
STX
EQIX
NOC
MMM
PNC
USB
FCX
AMT
SNDK
UPS
WMB
GD
CEG
SHW
WM
HCA
ICE
ADP
MRSH
JCI
RCL
CRH
CMI
EMR
ORLY
FDX
BK
MDLZ
MAR
REGN
ITW
SNPS
CDNS
CL
PWR
CI
ECL
CSX
MSI
SLB
HLT
ELV
GM
TDG
NKE
NSC
WBD
KKR
COR
AON
AEP
CTAS
TRV
TEL
TFC
PCAR
APD
EOG
MCO
LHX
ROST
AZO
PSX
SPG
KMI
-
NXPI
BKR
SRE
DASH
VLO
O
MPC
DLR
APO
MNST
HOOD
D
ZTS
URI
MPWR
AFL
F
ALL
FTNT
OKE
AME
AJG
FAST
VST
CARR
TGT
CAH
BDX
CTVA
ABNB
IDXX
GWW
TER
CVNA
EXC
FITB
ADSK
CMG
XEL
TRGP
PSA
FIX
ETR
YUM
DHI
DAL
EA
RSG
EW
AMP
WAB
NUE
ROK
SYY
MET
MCHP
AIG
KR
VMC
PEG
CIEN
DDOG
KDP
ED
VTR
CBRE
MLM
HIG
KEYS
MSCI
PCG
CCI
WEC
PYPL
PRU
ACGL
KMB
EBAY
GEHC
RMD
EQT
NDAQ
OTIS
MTB
KVUE
A
UAL
STT
CCL
HBAN
EME
ROP
AXON
DELL
ODFL
IR
HSY
ADM
GRMN
TTWO
OXY
CPRT
DG
IBKR
COIN
CTSH
FICO
FISV
WAT
DOV
TPR
IRM
FANG
WDAY
NRG
VICI
EXR
XYL
TDY
PAYX
ULTA
AEE
PPG
HPE
DTE
HAL
TSCO
BIIB
IQV
ATO
ON
CBOE
CFG
RJF
MTD
DVN
ARES
STLD
HUBB
NTRS
WTW
PHM
CNP
XYZ
PPL
JBL
SW
EIX
EXPE
LUV
ES
RF
LEN
EL
GIS
IP
CINF
SYF
DXCM
FE
AWK
WSM
VRSK
AVB
DRI
EXE
LYV
DLTR
FIS
STE
CHD
TPL
FSLR
CTRA
DOW
LH
NVR
EFX
DGX
AMCR
VLTO
STZ
Q
CMS
CPAY
LDOS
EQR
PKG
WRB
HUM
NI
OMC
SBAC
CHTR
DD
IFF
KHC
TROW
GPC
BRO
KEY
BR
CHRW
NTAP
SNA
WY
CSGP
ZBH
EXPD
L
EVRG
ALB
LULU
VTRS
CNC
VRSN
MKC
PFG
PTC
APTV
TSN
BALL
FTV
LNT
LII
HPQ
WST
TXT
LVS
ROL
DECK
PODD
INCY
CDW
HOLX
BG
JBHT
COO
GPN
PNR
MAS
ESS
HII
NDSN
MAA
TRMB
J
IEX
ALLE
SMCI
FFIV
AVY
KIM
INVH
CLX
AKAM
LYB
CF
RL
EG
SWK
ZBRA
MRNA
HAS
BLDR
TKO
GEN
UHS
BBY
GNRC
REG
HST
TYL
ALGN
GDDY
DPZ
SJM
FOXA
PNW
AES
UDR
TTD
IVZ
JKHY
GL
CPT
SOLV
DOC
IT
AIZ
RVTY
NCLH
BAX
CAG
APA
MOS
TECH
TAP
WYNN
EPAM
AOS
SWKS
POOL
BXP
BEN
NWSA
FRT
CRL
HSIC
ARE
FDS
FOX
MTCH
ERIE
MGM
LW
HRL
MOH
PAYC
CPB
DVA
BF.B
PSKY
NWS
