iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 12, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,563,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"FN","FABRINET","EQUITY","Information Technology","Equity","535,265,518.90","535,265,518.90","1,158,458.00","462.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.48","0.48"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","EQUITY","Industrials","Equity","526,924,271.12","526,924,271.12","1,779,308.00","296.14","United States","NASDAQ","USD","1.00","USD","-","0.48","0.48"
"MTZ","MASTEC INC","EQUITY","Industrials","Equity","526,155,493.38","526,155,493.38","1,983,322.00","265.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.48","0.48"
"APG","API GROUP CORP","EQUITY","Industrials","Equity","525,444,368.00","525,444,368.00","11,969,120.00","43.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.47","0.48"
"EWBC","EAST WEST BANCORP INC","EQUITY","Financials","Equity","521,578,249.92","521,578,249.92","4,448,808.00","117.24","United States","NASDAQ","USD","1.00","USD","-","0.47","0.47"
"WPC","W. P. CAREY REIT INC","EQUITY","Real Estate","Equity","517,990,839.80","517,990,839.80","7,086,058.00","73.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.47","0.47"
"TOL","TOLL BROTHERS INC","EQUITY","Consumer Discretionary","Equity","506,790,976.44","506,790,976.44","3,116,604.00","162.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.46","0.46"
"AA","ALCOA CORP","EQUITY","Materials","Equity","506,690,045.58","506,690,045.58","8,373,658.00","60.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.46","0.46"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","EQUITY","Financials","Equity","506,430,672.99","506,430,672.99","22,085,943.00","22.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.46","0.46"
"GGG","GRACO INC","EQUITY","Industrials","Equity","505,429,140.36","505,429,140.36","5,360,937.00","94.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.46","0.46"
